Kp,Ki,Total Reward,Tracking Reward,Cost Reward,Precision Reward
0.2782559402207124,3.593813663804626,-11836.971030629013,-3016.212722314877,-8589.981950094094,-230.77635822004237
0.2782559402207124,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.2782559402207124,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.46415888336127786,0.1,-21616.219166070405,-13439.187408795244,-7971.390058293322,-205.64169898183468
0.46415888336127786,0.16681005372000587,-18572.900227009544,-10122.99321273505,-8237.060113241205,-212.84690103328597
0.46415888336127786,0.2782559402207124,-16801.416694603147,-8061.354137870128,-8523.787085357686,-216.2754713753347
0.46415888336127786,0.46415888336127786,-15910.32812133176,-6788.534166010001,-8903.637125892677,-218.1568294290829
0.46415888336127786,0.774263682681127,-14130.582807335337,-4937.630769399356,-8970.607978215041,-222.34405972093955
0.46415888336127786,1.291549665014884,-12790.308873557307,-3634.29101490913,-8929.988511570158,-226.02934707801933
0.46415888336127786,2.1544346900318834,-11959.559126626038,-2861.580435285157,-8869.03975222807,-228.93893911281447
0.46415888336127786,3.593813663804626,-11790.437860956315,-2987.96302965676,-8571.460386641194,-231.0144446583597
0.46415888336127786,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.46415888336127786,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.774263682681127,0.1,-21403.07847939906,-13238.086867113274,-7959.118431562003,-205.87318072378147
0.774263682681127,0.16681005372000587,-18416.259207390292,-9977.734034779916,-8225.353217335221,-213.17195527515875
0.774263682681127,0.2782559402207124,-16676.852798904183,-7949.297169713753,-8510.970448153128,-216.58518103730097
0.774263682681127,0.46415888336127786,-15802.477426198275,-6696.350081913411,-8887.674832818175,-218.4525114666887
0.774263682681127,0.774263682681127,-14082.634255625087,-4896.036553431551,-8964.066896418977,-222.53080577456083
0.774263682681127,1.291549665014884,-12765.006239648676,-3613.4434000779243,-8925.403125927842,-226.15971364290903
0.774263682681127,2.1544346900318834,-11982.005844397423,-2870.2128775796923,-8882.914658263357,-228.87830855437406
0.774263682681127,3.593813663804626,-11898.111001359519,-3011.8529131605305,-8656.05724977695,-230.20083842203684
0.774263682681127,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.774263682681127,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
1.291549665014884,0.1,-21061.215701131674,-12915.284615261819,-7939.671434686243,-206.2596511836153
1.291549665014884,0.16681005372000587,-18164.86736062256,-9744.406981306987,-8206.776541989402,-213.68383732617488
1.291549665014884,0.2782559402207124,-16476.88262054944,-7769.2190372525665,-8490.588597904756,-217.07498539211937
1.291549665014884,0.46415888336127786,-15629.306073748292,-6548.158903803075,-8862.221823544032,-218.92534640118652
1.291549665014884,0.774263682681127,-14005.506016711639,-4828.856250097124,-8953.82038074584,-222.82938586867624
1.291549665014884,1.291549665014884,-12724.07059721387,-3579.515527581929,-8918.185431581318,-226.36963805062544
1.291549665014884,2.1544346900318834,-12019.814260683695,-2884.8131941896395,-8906.217018235267,-228.7840482587887
1.291549665014884,3.593813663804626,-12106.053212018085,-3061.0803393572346,-8815.824522836803,-229.14834982404795
1.291549665014884,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
